epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1907.95,1.33027,1.1129,1.09334,0.54834,0.49323,0.41607,0.2035,1.70349,1.38716,1.35648,0.0002576,0.0002576,0.0002576
90,1952.95,1.37306,1.25084,1.09139,0.53521,0.5038,0.41146,0.20257,1.71705,1.40152,1.35769,0.0002378,0.0002378,0.0002378
91,1982.25,1.43889,1.1505,1.1433,0.53721,0.5,0.41628,0.20003,1.73751,1.43361,1.37103,0.000218,0.000218,0.000218
92,2001.12,1.52027,1.17051,1.17834,0.50844,0.52797,0.41002,0.19239,1.75692,1.44675,1.36624,0.0001982,0.0001982,0.0001982
93,2019.83,1.43148,1.1476,1.09111,0.59047,0.46875,0.40181,0.19562,1.77093,1.44773,1.37095,0.0001784,0.0001784,0.0001784
94,2038.65,1.41441,1.12009,1.11566,0.57661,0.44792,0.37945,0.19074,1.75868,1.44152,1.36659,0.0001586,0.0001586,0.0001586
95,2057.35,1.43667,1.13489,1.0923,0.53172,0.44948,0.37531,0.18601,1.74692,1.42289,1.36519,0.0001388,0.0001388,0.0001388
96,2076.17,1.40572,1.08709,1.09028,0.50617,0.5,0.39039,0.18811,1.72647,1.40037,1.3659,0.000119,0.000119,0.000119
97,2094.9,1.34863,1.0912,1.07119,0.4886,0.49764,0.3989,0.19288,1.71956,1.40223,1.36187,9.92e-05,9.92e-05,9.92e-05
98,2113.63,1.42434,1.08572,1.09985,0.50998,0.53125,0.41236,0.19563,1.71064,1.39143,1.35545,7.94e-05,7.94e-05,7.94e-05
99,2132.28,1.32416,1.0518,1.07922,0.51587,0.52083,0.42199,0.19895,1.69862,1.3755,1.35178,5.96e-05,5.96e-05,5.96e-05
100,2151.41,1.40379,1.11606,1.07933,0.51801,0.51042,0.42038,0.19886,1.67382,1.36649,1.34226,3.98e-05,3.98e-05,3.98e-05
